"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.978476417E0,-2.304767990E1,-3.770222092E1,-5.919494629E1,7.386944346E1
2.988497417E0,-2.330414391E1,-3.771126175E1,-5.858105469E1,7.346402081E1
2.998518417E0,-2.323540306E1,-3.762843704E1,-5.889001465E1,7.364656852E1
3.008538417E0,-2.314520073E1,-3.768462753E1,-5.860217285E1,7.341693355E1
3.018559417E0,-2.310304642E1,-3.760071945E1,-5.878741455E1,7.350867273E1
3.028580417E0,-2.315135956E1,-3.759113693E1,-5.890905762E1,7.361627602E1
3.038600417E0,-2.317728043E1,-3.763647461E1,-5.863055420E1,7.342501232E1
3.048621417E0,-2.328771591E1,-3.755914307E1,-5.897344971E1,7.369446866E1
3.058642417E0,-2.316766548E1,-3.763301086E1,-5.834155273E1,7.318962362E1
3.068662417E0,-2.318725967E1,-3.757015610E1,-5.878472900E1,7.351741293E1
3.078683417E0,-2.336133575E1,-3.761688995E1,-5.835491943E1,7.325352579E1
3.088704417E0,-2.335937691E1,-3.762490845E1,-5.812945557E1,7.307754669E1
3.098724417E0,-2.336553383E1,-3.753193665E1,-5.858056641E1,7.339126106E1
3.108745417E0,-2.331481171E1,-3.752814865E1,-5.834960938E1,7.318892881E1
3.118766417E0,-2.328323936E1,-3.757548141E1,-5.864923096E1,7.344221082E1
3.128786417E0,-2.331346321E1,-3.765059662E1,-5.875793457E1,7.357703356E1
3.138807417E0,-2.320539474E1,-3.772306061E1,-5.855291748E1,7.341637278E1
3.148828417E0,-2.324846268E1,-3.764078140E1,-5.880627441E1,7.359006286E1
3.158848417E0,-2.322990417E1,-3.771470261E1,-5.834942627E1,7.325764661E1
