"Time t (s)","Angular Velocity x (rad/s)","Angular Velocity y (rad/s)","Angular Velocity z (rad/s)","Absolute Angular Velocity (rad/s)"
5.138000011E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
5.147999763E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
5.158999920E0,6.391580697E-3,1.065263471E-3,0.000000000E0,6.479744779E-3
5.168000221E0,6.391580697E-3,1.065263471E-3,1.065263471E-3,6.566725003E-3
5.177999973E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
5.189000130E0,6.391580697E-3,1.065263471E-3,-1.065263471E-3,6.566725003E-3
5.197000027E0,6.391580697E-3,2.130526942E-3,-1.065263471E-3,6.821014020E-3
5.206999779E0,6.391580697E-3,1.065263471E-3,0.000000000E0,6.479744779E-3
5.217999935E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
5.247000217E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
5.256999969E0,5.326317681E-3,3.195790349E-3,0.000000000E0,6.211500185E-3
5.267000198E0,5.326317681E-3,3.195790349E-3,0.000000000E0,6.211500185E-3
5.287000179E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
5.296000004E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
5.307000160E0,3.195790349E-3,2.130526942E-3,0.000000000E0,3.840862035E-3
5.315999985E0,4.261053885E-3,1.065263471E-3,0.000000000E0,4.392193912E-3
5.326000214E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
5.366000175E0,6.391580697E-3,1.065263471E-3,1.065263471E-3,6.566725003E-3
5.375000000E0,6.391580697E-3,1.065263471E-3,1.065263471E-3,6.566725003E-3
5.385000229E0,6.391580697E-3,1.065263471E-3,1.065263471E-3,6.566725003E-3
5.395999908E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
5.405000210E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
5.414999962E0,4.261053885E-3,2.130526942E-3,-2.130526942E-3,5.218703698E-3
5.425000191E0,3.195790349E-3,2.130526942E-3,-1.065263471E-3,3.985851009E-3
5.434999943E0,4.261053885E-3,2.130526942E-3,-1.065263471E-3,4.881650258E-3
5.453999996E0,6.391580697E-3,1.065263471E-3,0.000000000E0,6.479744779E-3
5.464000225E0,7.456844234E-3,2.130526942E-3,0.000000000E0,7.755235057E-3
5.473999977E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
